date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range
2020-03-22,HOU,Houston (Hobby),77.4,60.4,68.7,1019.3,14.4,130,26.4,0.126,0.126,90,65.6,92,8.803480555555556,0,0,1,0,-5.2000000000000455,17.000000000000007
2020-03-23,HOU,Houston (Hobby),81.0,68.6,73.8,1017.3,15.3,183,28.0,0.055,0.055,87,69.5,72,8.666608333333334,0,1,0,0,-2.0,12.400000000000006
2020-03-24,HOU,Houston (Hobby),83.5,70.6,76.0,1013.0,17.5,201,31.8,0.031,0.031,82,69.5,69,9.0,0,1,0,0,-4.2999999999999545,12.900000000000006
2020-03-25,HOU,Houston (Hobby),84.6,64.5,73.2,1012.9,10.5,178,20.4,0.0,0.0,87,68.8,34,9.225880555555555,0,1,0,0,-0.10000000000002274,20.099999999999994
2020-03-26,HOU,Houston (Hobby),84.0,67.2,74.9,1011.7,15.1,166,28.4,0.0,0.0,84,69.3,38,9.233891666666667,0,1,0,0,-1.1999999999999318,16.799999999999997
2020-03-27,HOU,Houston (Hobby),84.3,70.8,76.5,1009.1,16.8,167,31.1,0.0,0.0,81,69.6,64,11.058819444444444,0,1,0,0,-2.6000000000000227,13.5
2020-03-28,HOU,Houston (Hobby),84.1,64.1,73.7,1010.4,16.2,186,29.5,0.035,0.035,80,66.8,93,6.193666666666667,0,1,0,0,1.2999999999999545,20.0
2020-03-29,HOU,Houston (Hobby),77.6,56.3,66.9,1018.5,11.7,61,22.8,0.024,0.024,67,53.9,62,7.397827777777778,0,0,1,0,8.100000000000023,21.299999999999997
2020-03-30,HOU,Houston (Hobby),81.2,65.8,72.8,1015.1,16.5,136,30.6,0.02,0.02,75,64.1,90,6.595977777777778,0,1,0,0,-3.3999999999999773,15.400000000000006
2020-03-31,HOU,Houston (Hobby),74.4,60.9,70.9,1013.8,17.9,326,32.4,0.02,0.02,75,61.5,49,11.061238888888889,1,0,0,0,-1.3000000000000682,13.500000000000007
2020-04-01,HOU,Houston (Hobby),71.8,53.6,63.0,1016.1,12.6,101,25.5,0.0,0.0,69,52.1,45,11.47306388888889,0,0,1,0,2.300000000000068,18.199999999999996
2020-04-02,HOU,Houston (Hobby),77.0,61.5,69.1,1013.7,16.1,127,30.0,0.028,0.028,74,59.9,89,5.488280555555556,0,0,1,0,-2.3999999999999773,15.5
2020-04-03,HOU,Houston (Hobby),76.0,67.6,71.0,1013.4,11.9,112,22.1,0.587,0.587,84,65.9,93,0.3998055555555555,0,0,1,0,-0.3000000000000682,8.400000000000006
2020-04-04,HOU,Houston (Hobby),67.6,57.4,63.0,1014.1,13.4,11,24.8,0.65,0.65,94,61.3,97,0.0,1,0,0,0,0.7000000000000455,10.199999999999996
2020-04-05,HOU,Houston (Hobby),73.4,60.8,66.5,1015.8,12.2,48,23.3,0.024,0.024,85,61.5,94,4.805458333333334,0,0,1,0,1.6999999999999318,12.600000000000009
2020-04-06,HOU,Houston (Hobby),77.1,64.4,70.0,1015.7,12.3,89,22.4,0.287,0.287,91,67.3,98,0.0,0,0,1,0,-0.09999999999990905,12.699999999999989
